,0
639,995900
640,995849
641,995771
642,995783
643,995848
644,995881
645,995882
646,995815
647,995842
648,995867
649,995906
650,995929
651,995948
652,995956
653,995927
654,995917
655,995966
656,995994
657,995955
658,995946
659,995983
660,995930
661,995958
662,996025
663,996033
664,995976
665,995968
666,995950
667,995971
668,995974
669,995985
670,996076
671,996104
672,996024
673,995936
674,995968
675,996031
676,996017
677,995956
678,995983
679,996033
680,996047
681,995989
682,995953
683,996008
684,996006
685,996004
686,996014
687,995976
688,996015
689,995945
690,995960
691,996032
692,996027
693,995958
694,996007
695,996036
696,995999
697,996022
698,995980
699,995967
700,995953
701,995928
702,995966
703,995917
704,995899
705,995926
706,995953
707,995956
708,995973
709,995987
710,995932
711,995906
712,995965
713,995954
714,995938
715,995942
716,995953
717,995922
718,995932
719,995951
720,995940
721,995926
722,995890
723,995827
724,995935
725,995923
726,995908
727,995944
728,995919
729,995951
730,995942
731,995931
732,995894
733,995878
734,995840
735,995878
736,995918
737,995865
738,995889
739,995871
740,995877
741,995910
742,995880
743,995838
744,995894
745,995904
746,995934
747,995897
748,995904
749,995870
750,995909
751,995916
752,995885
753,995879
754,995902
755,995930
756,995919
757,995962
758,995962
759,995916
760,995891
761,995869
762,995853
763,995929
764,995895
765,995860
766,995906
767,995909
768,995918
769,995952
770,995948
771,995928
772,995962
773,995931
774,995868
775,995837
776,995868
777,995917
778,995961
779,995905
780,995895
781,995898
782,995926
783,995965
784,995963
785,995926
786,995902
787,995907
788,995921
789,995901
790,995946
791,995940
792,995895
793,995881
794,995935
795,995902
796,995906
797,995920
798,995923
799,995930
800,995914
801,995945
802,995981
803,995885
804,995874
805,995947
806,995945
807,995933
808,995953
809,995888
810,995955
811,995963
812,995973
813,995995
814,995970
815,995919
816,995872
817,995947
818,995960
819,995915
820,995930
821,995852
822,995838
823,995927
824,995923
825,995916
826,995934
827,995903
828,995910
829,995955
830,995988
831,995995
832,996059
833,996048
834,996004
835,995973
836,995952
837,996005
838,996058
839,995984
840,995972
841,996058
842,996082
843,996059
844,996039
845,996041
846,996093
847,996080
848,996021
849,995982
850,995996
851,996065
852,996156
853,996124
854,996069
855,996085
856,996078
857,996094
858,996132
859,996149
860,996167
861,996191
862,996176
863,996143
864,996186
865,996158
866,996184
867,996121
868,996133
869,996172
870,996169
871,996118
872,996094
873,996128
874,996199
875,996233
876,996267
877,996245
878,996242
879,996157
880,996101
881,996098
882,996153
883,996171
884,996125
885,996097
886,996124
887,996151
888,996107
889,996139
890,996194
891,996160
892,996145
893,996107
894,996185
895,996176
896,996141
897,996081
898,996119
899,996139
900,996117
901,996125
902,996135
903,996057
904,996036
905,996011
906,996052
907,996093
908,996043
909,996055
910,996064
911,996116
912,996069
913,996057
914,996092
915,996044
916,996006
917,996026
918,996059
919,996096
920,996003
921,996014
922,995993
923,996023
924,996070
925,996057
926,996093
927,996075
928,996106
929,996124
930,996049
931,995998
932,995994
933,996048
934,996072
935,996056
936,996018
937,995982
938,995991
939,995965
940,995962
941,995937
942,996003
943,996001
944,995939
945,995934
946,995916
947,995917
948,995900
949,995954
950,995963
951,995876
952,995905
953,995962
954,995903
955,995940
956,995951
957,995934
958,995882
959,995881
960,995890
961,995920
962,995896
963,995895
964,995917
965,995894
966,995937
967,995951
968,995897
969,995883
970,995886
971,995922
972,995946
973,995951
974,995942
975,995944
976,995961
977,995925
978,995896
979,995922
980,995898
981,995966
982,995973
983,995934
984,995929
985,995866
986,995893
987,995903
988,995951
989,995927
990,995902
991,995957
992,995900
993,995884
994,995924
995,995920
996,995911
997,995953
998,995986
999,995948
1000,995923
